無	297	无	wú	nothing	negative, no, not; lack, have no	ない なかれ	ム ブ	[sound:agj-pinyin-wu2.mp3]	84
犬	298		quǎn	pooch	dog; radical number 94	いぬ	ケン	[sound:agj-pinyin-quan3.mp3]	2471
然	299		rán	sort of thing	yes, certainly; pledge, promise	もえる しかれども しかして	ゼン ネン	[sound:agj-pinyin-ran2.mp3]	85
但	300		dàn	however	only; but, however, yet, still	ただし ただ	タン ダン	[sound:agj-pinyin-dan4.mp3]	86
當	301	当	dāng	work as	bear, accept, undertake; just	あたる	トウ	[sound:agj-pinyin-dang1.mp3]	87
方	303		fāng	direction	a square, rectangle; a region; local	かた ならべる くらべる	ホウ	[sound:agj-pinyin-fang1.mp3]	108
烏	304	乌	wū	crow	crow, rook, raven; black, dark	からす いずくんそ	ウ オ	[sound:agj-pinyin-wu1.mp3]	1388
於	305	于	yú	(all-purpose preposition)	in, at, on; interjection alas!	あう より おいて	オ ヨ	[sound:agj-pinyin-yu2.mp3]	88
馬	306	马	mǎ	horse	horse; surname; KangXi radical 187	うま	バ メ マ	[sound:agj-pinyin-ma3.mp3]	407
嗎	307	吗	ma	yes or no	final interrogative particle		バ	[sound:agj-pinyin-ma1.mp3]	89
本	308		běn	notebook	root, origin, source; basis	もと	ホン	[sound:agj-pinyin-ben3.mp3]	90
革	309		gé	leather	leather, animal hides; rad. 177	かわ あらたまる あらためる	カク キョク	[sound:agj-pinyin-ge2.mp3]	1496
己	310		jǐ	self	self, oneself; personal, private; 6th heavenly stem	おのれ つちのと	キ コ	[sound:agj-pinyin-ji3.mp3]	159
禾	311		hé	standing grain	grain still on stalk; rice plant	いね のぎ	カ	[sound:agj-pinyin-he2.mp3]	3594
遷	316	迁	qiān	resituate	move, shift, change; transfer	うつる うつす	セン	[sound:agj-pinyin-qian1.mp3]	1977
千	317		qiān	thousand	thousand; many, numerous; very; (Cant.) a cheater, swindler	ち	セン	[sound:agj-pinyin-qian1.mp3]	564
年	318		nián	year	year; new-years; person's age	とし みのる よわい	ネン	[sound:agj-pinyin-nian2.mp3]	91
王	319		wáng	king	king, ruler; royal; surname	きみ	オウ	[sound:agj-pinyin-wang2.mp3]	319
見	320	见	jiàn	see	see, observe, behold; perceive	みる みえる まみえる	ケン	[sound:agj-pinyin-jian4.mp3]	208
現	321	现	xiàn	present	appear, manifest, become visible	あらわれる あらわす うつつ	ゲン ケン	[sound:agj-pinyin-xian4.mp3]	92
前	323		qián	in front	in front, forward; preceding	まえ すすむ	ゼン セン	[sound:agj-pinyin-qian2.mp3]	93
耳	324		ěr	ear	ear; merely, only; handle	みみ のみ	ジ ジョウ	[sound:agj-pinyin-er3.mp3]	1341
取	325		qǔ	take	take, receive, obtain; select	とる	シュ	[sound:agj-pinyin-qu3.mp3]	316
最	327		zuì	most	most, extremely, exceedingly	もっとも も	サイ	[sound:agj-pinyin-zui4.mp3]	94
且	328		qiě	moreover	moreover, also (post-subject); about to, will soon (pre-verb)	かつ	シャ ショ	[sound:agj-pinyin-qie3.mp3]	292
